   1.340   0.185    0.6304E-01    0.6094E-02    0.3676E-02    0.6217E+04
   1.360   0.187    0.6289E-01    0.6250E-02    0.3787E-02    0.6220E+04
   1.380   0.189    0.6273E-01    0.6407E-02    0.3900E-02    0.6222E+04
   1.400   0.191    0.6257E-01    0.6566E-02    0.4015E-02    0.6225E+04
   1.420   0.193    0.6242E-01    0.6726E-02    0.4131E-02    0.6227E+04
   1.440   0.195    0.6226E-01    0.6887E-02    0.4250E-02    0.6229E+04
   1.460   0.197    0.6210E-01    0.7049E-02    0.4369E-02    0.6232E+04
   1.480   0.199    0.6193E-01    0.7212E-02    0.4489E-02    0.6234E+04
   1.500   0.202    0.6177E-01    0.7377E-02    0.4610E-02    0.6236E+04
   1.520   0.204    0.6161E-01    0.7542E-02    0.4735E-02    0.6239E+04
   1.540   0.206    0.6144E-01    0.7708E-02    0.4859E-02    0.6241E+04
   1.560   0.208    0.6128E-01    0.7875E-02    0.4984E-02    0.6243E+04
   1.580   0.210    0.6111E-01    0.8043E-02    0.5111E-02    0.6245E+04
   1.600   0.212    0.6095E-01    0.8211E-02    0.5238E-02    0.6247E+04
   1.620   0.214    0.6078E-01    0.8381E-02    0.5367E-02    0.6249E+04
   1.640   0.216    0.6061E-01    0.8551E-02    0.5498E-02    0.6251E+04
   1.660   0.218    0.6044E-01    0.8721E-02    0.5629E-02    0.6253E+04
   1.680   0.220    0.6027E-01    0.8892E-02    0.5761E-02    0.6255E+04
   1.700   0.222    0.6010E-01    0.9064E-02    0.5894E-02    0.6256E+04
   1.720   0.224    0.5993E-01    0.9236E-02    0.6028E-02    0.6258E+04
   1.740   0.226    0.5976E-01    0.9408E-02    0.6163E-02    0.6260E+04
   1.760   0.227    0.5958E-01    0.9581E-02    0.6298E-02    0.6262E+04
   1.780   0.229    0.5941E-01    0.9754E-02    0.6435E-02    0.6263E+04
   1.800   0.231    0.5924E-01    0.9927E-02    0.6573E-02    0.6265E+04
   1.820   0.233    0.5906E-01    0.1010E-01    0.6711E-02    0.6267E+04
   1.840   0.235    0.5889E-01    0.1027E-01    0.6849E-02    0.6268E+04
   1.860   0.237    0.5871E-01    0.1045E-01    0.6988E-02    0.6270E+04
   1.880   0.239    0.5853E-01    0.1062E-01    0.7128E-02    0.6271E+04
