   0.740    0.6221E-01    0.5090E-01    0.6373E-01   -0.2503E+01    0.7865E+00    0.7356E+00   -0.1035E+00   -0.9066E-01
   0.760    0.6218E-01    0.5106E-01    0.6375E-01   -0.2449E+01    0.7790E+00    0.7280E+00   -0.9857E-01   -0.8588E-01
   0.780    0.6209E-01    0.5119E-01    0.6372E-01   -0.2397E+01    0.7716E+00    0.7204E+00   -0.9414E-01   -0.8161E-01
   0.800    0.6196E-01    0.5129E-01    0.6363E-01   -0.2347E+01    0.7642E+00    0.7129E+00   -0.9013E-01   -0.7780E-01
   0.820    0.6178E-01    0.5136E-01    0.6348E-01   -0.2298E+01    0.7568E+00    0.7055E+00   -0.8649E-01   -0.7437E-01
   0.840    0.6158E-01    0.5140E-01    0.6331E-01   -0.2250E+01    0.7495E+00    0.6981E+00   -0.8312E-01   -0.7121E-01
   0.860    0.6132E-01    0.5141E-01    0.6307E-01   -0.2204E+01    0.7422E+00    0.6908E+00   -0.8008E-01   -0.6843E-01
   0.880    0.6101E-01    0.5140E-01    0.6278E-01   -0.2159E+01    0.7349E+00    0.6835E+00   -0.7728E-01   -0.6590E-01
   0.900    0.6071E-01    0.5136E-01    0.6250E-01   -0.2115E+01    0.7277E+00    0.6763E+00   -0.7465E-01   -0.6351E-01
   0.920    0.6033E-01    0.5129E-01    0.6214E-01   -0.2072E+01    0.7205E+00    0.6692E+00   -0.7225E-01   -0.6140E-01
   0.940    0.5993E-01    0.5119E-01    0.6174E-01   -0.2031E+01    0.7134E+00    0.6622E+00   -0.6999E-01   -0.5945E-01
   0.960    0.5950E-01    0.5107E-01    0.6130E-01   -0.1991E+01    0.7063E+00    0.6552E+00   -0.6788E-01   -0.5765E-01
   0.980    0.5904E-01    0.5092E-01    0.6084E-01   -0.1952E+01    0.6993E+00    0.6483E+00   -0.6589E-01   -0.5598E-01
   1.000    0.5856E-01    0.5076E-01    0.6035E-01   -0.1914E+01    0.6923E+00    0.6415E+00   -0.6401E-01   -0.5442E-01
   1.020    0.5806E-01    0.5057E-01    0.5984E-01   -0.1878E+01    0.6853E+00    0.6347E+00   -0.6223E-01   -0.5296E-01
   1.040    0.5757E-01    0.5037E-01    0.5938E-01   -0.1842E+01    0.6784E+00    0.6280E+00   -0.6053E-01   -0.5152E-01
   1.060    0.5703E-01    0.5015E-01    0.5882E-01   -0.1808E+01    0.6715E+00    0.6213E+00   -0.5893E-01   -0.5025E-01
