   0.980  -0.112E-01   0.143E-03   0.543E-03   0.517E-03   0.560E-02   0.570E-02  -0.251E-04
   1.000  -0.110E-01   0.145E-03   0.545E-03   0.518E-03   0.553E-02   0.563E-02  -0.257E-04
   1.020  -0.109E-01   0.148E-03   0.546E-03   0.519E-03   0.546E-02   0.557E-02  -0.262E-04
   1.040  -0.108E-01   0.149E-03   0.546E-03   0.520E-03   0.540E-02   0.550E-02  -0.269E-04
   1.060  -0.106E-01   0.151E-03   0.547E-03   0.521E-03   0.533E-02   0.544E-02  -0.273E-04
   1.080  -0.105E-01   0.153E-03   0.548E-03   0.522E-03   0.527E-02   0.538E-02  -0.278E-04
   1.100  -0.104E-01   0.155E-03   0.549E-03   0.522E-03   0.521E-02   0.532E-02  -0.284E-04
   1.120  -0.103E-01   0.157E-03   0.549E-03   0.523E-03   0.515E-02   0.527E-02  -0.289E-04
   1.140  -0.102E-01   0.159E-03   0.550E-03   0.524E-03   0.509E-02   0.521E-02  -0.294E-04
   1.160  -0.100E-01   0.161E-03   0.550E-03   0.525E-03   0.504E-02   0.516E-02  -0.299E-04
   1.180  -0.994E-02   0.162E-03   0.551E-03   0.525E-03   0.498E-02   0.511E-02  -0.306E-04
   1.200  -0.982E-02   0.164E-03   0.551E-03   0.525E-03   0.493E-02   0.506E-02  -0.313E-04
   1.220  -0.972E-02   0.166E-03   0.551E-03   0.526E-03   0.487E-02   0.501E-02  -0.321E-04
   1.240  -0.962E-02   0.167E-03   0.551E-03   0.526E-03   0.482E-02   0.496E-02  -0.328E-04
   1.260  -0.952E-02   0.169E-03   0.551E-03   0.526E-03   0.477E-02   0.491E-02  -0.337E-04
   1.280  -0.942E-02   0.170E-03   0.551E-03   0.526E-03   0.472E-02   0.486E-02  -0.345E-04
   1.300  -0.932E-02   0.172E-03   0.550E-03   0.526E-03   0.467E-02   0.482E-02  -0.354E-04
   1.320  -0.923E-02   0.173E-03   0.550E-03   0.526E-03   0.462E-02   0.477E-02  -0.364E-04
   1.340  -0.913E-02   0.174E-03   0.550E-03   0.526E-03   0.457E-02   0.473E-02  -0.374E-04
   1.360  -0.904E-02   0.176E-03   0.549E-03   0.526E-03   0.453E-02   0.468E-02  -0.384E-04
   1.380  -0.895E-02   0.177E-03   0.549E-03   0.526E-03   0.448E-02   0.464E-02  -0.394E-04
   1.400  -0.886E-02   0.178E-03   0.548E-03   0.525E-03   0.444E-02   0.460E-02  -0.404E-04
   1.420  -0.878E-02   0.179E-03   0.547E-03   0.525E-03   0.439E-02   0.456E-02  -0.414E-04
   1.440  -0.869E-02   0.180E-03   0.546E-03   0.524E-03   0.435E-02   0.452E-02  -0.422E-04
   1.460  -0.860E-02   0.181E-03   0.545E-03   0.524E-03   0.430E-02   0.448E-02  -0.432E-04
   1.480  -0.852E-02   0.182E-03   0.544E-03   0.523E-03   0.426E-02   0.444E-02  -0.441E-04
   1.500  -0.844E-02   0.183E-03   0.543E-03   0.523E-03   0.422E-02   0.440E-02  -0.450E-04
   1.520  -0.836E-02   0.184E-03   0.542E-03   0.522E-03   0.418E-02   0.436E-02  -0.457E-04
   1.540  -0.828E-02   0.185E-03   0.541E-03   0.521E-03   0.414E-02   0.432E-02  -0.465E-04
   1.560  -0.820E-02   0.186E-03   0.540E-03   0.520E-03   0.410E-02   0.429E-02  -0.473E-04
   1.580  -0.812E-02   0.187E-03   0.539E-03   0.520E-03   0.406E-02   0.425E-02  -0.480E-04
   1.600  -0.805E-02   0.188E-03   0.538E-03   0.519E-03   0.402E-02   0.421E-02  -0.486E-04
   1.620  -0.798E-02   0.189E-03   0.536E-03   0.518E-03   0.398E-02   0.418E-02  -0.493E-04
   1.640  -0.790E-02   0.189E-03   0.535E-03   0.517E-03   0.394E-02   0.414E-02  -0.498E-04
   1.660  -0.783E-02   0.190E-03   0.533E-03   0.516E-03   0.391E-02   0.411E-02  -0.503E-04
   1.680  -0.776E-02   0.191E-03   0.532E-03   0.515E-03   0.387E-02   0.408E-02  -0.509E-04
